date,video_id,title,channel,channel_id,subscribers,category,views,likes,comments
2025-02-21,eWAdpUyzCkI,JENNIE & Doechii - ExtraL (Official Video),JennieRubyJaneVEVO,UCN9_L9lA9kqJbGANLRus_1A,3530,Music,5529364,873300,51755
2025-02-21,5CVj41dtkIA,The Chosen: Last Supper Official Trailer (Season 5),The Chosen,UCBXOFnNTULFaAnj24PAeblg,3110000,Entertainment,1135853,66386,8167
2025-02-21,cFHElRaF19s,"Selena Gomez, benny blanco, Gracie Abrams - Call Me When You Break Up (Official Video)",SelenaGomezVEVO,UCjK8ORC71kwyj1DWFwril_A,14200000,Music,968377,100348,5559
2025-02-21,_egY-rqglNM,LAUNCHING OUR BRAND LIVE ON STREAM! 🌐,AMP,UCJbYdyufHR-cxOuY96KIoqA,7080000,Entertainment,458426,19103,607
2025-02-21,ZaSUCJM3hcg,We Renovated An Old Warehouse Into Our Dream Studio,Safiya Nygaard,UCbAwSkqJ1W_Eg7wr3cp5BUA,10100000,People & Blogs,621646,59791,2636
2025-02-21,jNnsTNZR2bU,Leon Thomas: Tiny Desk Concert,NPR Music,UC4eYXhJI4-7wSWc8UNRwD4A,10800000,Music,412179,39275,2600
2025-02-21,LFy4BL_FeuQ,"Don Toliver, Speedy - LV Bag (feat. j-hope from BTS & Pharrell Williams) [Official Audio]",Don Toliver,UCgT01FILdWB9BsXBXKjpQ7A,2240000,Music,350814,96709,11506
2025-02-21,VJ68T2syFEk,GROWING OUR FAMILY,Lauren & Arie,UCkoZyNqTZyBZ8nu8E_OSkWw,342000,Entertainment,218336,2769,352
2025-02-21,Nfbj7Uf1ZKk,Emergency c-section birth vlog!!,Keir&Trev,UCpWKlxbmDIIjXNSN2qE3iXQ,22800,People & Blogs,232192,5470,1117
2025-02-21,H0y5RwcCJ0Q,Lady Gaga - Abracadabra (Rehearsal Video),LadyGagaVEVO,UC07Kxew-cMIaykMOkzqHtBQ,8880000,Music,1033913,103256,5471
2025-02-21,hUaL56hw-jc,"Canada vs. United States | 4 Nations Face-Off Championship Highlights | February 20, 2025",NHL,UCqFMzb-4AUf6WAIbl132QKA,2310000,Sports,523478,10292,2770
